slide_name,slide_width,slide_height,slide_mag,slide_pw
TCGA-49-4505-01Z-00-DX4,91128,79007,39.682539682539684,1015
TCGA-55-8206-01Z-00-DX1,41247,40812,39.682539682539684,1015
TCGA-L4-A4E6-01Z-00-DX1,88536,65148,40.71661237785016,1042
TCGA-55-8089-01Z-00-DX1,19184,21609,39.682539682539684,1015
TCGA-L9-A8F4-01Z-00-DX1,119519,94093,39.57261574990107,1013
TCGA-55-5899-01Z-00-DX1,36451,31393,39.682539682539684,1015
TCGA-49-4490-01Z-00-DX2,119905,60981,39.682539682539684,1015
TCGA-49-6742-01Z-00-DX3,157316,84874,39.682539682539684,1015
TCGA-49-4488-01Z-00-DX7,141009,84744,39.682539682539684,1015
TCGA-49-4488-01Z-00-DX5,123742,84602,39.682539682539684,1015
TCGA-L4-A4E5-01Z-00-DX1,108528,91818,40.71661237785016,1042
TCGA-MP-A4TK-01Z-00-DX1,91677,77657,39.63535473642489,1014
TCGA-64-5778-01Z-00-DX1,51791,46292,39.57261574990107,1013
TCGA-49-AARQ-01Z-00-DX1,89640,77260,39.603960396039604,1013
TCGA-55-8620-01Z-00-DX1,44125,40580,39.682539682539684,1015
TCGA-78-7163-01Z-00-DX1,93046,68879,39.682539682539684,1015
TCGA-49-6761-01Z-00-DX1,176501,66774,39.682539682539684,1015
TCGA-55-7994-01Z-00-DX1,51799,29995,39.682539682539684,1015
TCGA-55-A48Z-01Z-00-DX1,105517,47425,39.682539682539684,1015
TCGA-55-7913-01Z-00-DX1,34532,32384,39.682539682539684,1015
TCGA-44-A47G-01Z-00-DX1,130576,31183,39.920159680638726,1021
TCGA-J2-8192-01Z-00-DX1,191352,91462,40.71661237785016,1042
TCGA-49-4488-01Z-00-DX9,117987,77200,39.682539682539684,1015
TCGA-05-5420-01Z-00-DX1,10000,8104,39.37007874015748,1007
TCGA-75-6214-01Z-00-DX1,29983,21692,19.980019980019982,511
TCGA-86-A4JF-01Z-00-DX1,105672,95908,40.51863857374392,1037
TCGA-67-4679-01Z-00-DX1,171705,43664,39.682539682539684,1015
TCGA-86-6562-01Z-00-DX1,87291,55135,39.682539682539684,1015
TCGA-38-4632-01Z-00-DX1,127579,34675,39.682539682539684,1015
TCGA-44-6776-01Z-00-DX1,129498,45849,39.682539682539684,1015
TCGA-50-8459-01Z-00-DX1,112336,91213,40.56795131845842,1038
TCGA-44-2656-01Z-00-DX1,130457,55746,39.682539682539684,1015
TCGA-55-7728-01Z-00-DX1,38369,28363,39.682539682539684,1015
TCGA-49-4512-01Z-00-DX5,175542,72092,39.682539682539684,1015
TCGA-55-A493-01Z-00-DX1,26858,39428,39.682539682539684,1015
TCGA-44-3396-01Z-00-DX1,114150,47749,39.682539682539684,1015
TCGA-05-4434-01Z-00-DX1,47872,61184,43.01075268817204,1101
TCGA-78-7156-01Z-00-DX1,84413,71342,39.682539682539684,1015
TCGA-67-3772-01Z-00-DX1,151391,54736,39.57261574990107,1013
TCGA-L9-A7SV-01Z-00-DX1,141432,72223,39.603960396039604,1013
TCGA-49-4506-01Z-00-DX1,103598,69468,39.682539682539684,1015
TCGA-95-7567-01Z-00-DX1,99200,89856,44.150110375275936,1130
TCGA-38-4630-01Z-00-DX1,116068,72362,39.682539682539684,1015
TCGA-75-7031-01Z-00-DX1,21987,17654,19.980019980019982,511
TCGA-75-6205-01Z-00-DX1,57967,24304,19.980019980019982,511
TCGA-67-6215-01Z-00-DX1,114150,33801,39.682539682539684,1015
TCGA-97-7553-01Z-00-DX1,112231,78925,39.682539682539684,1015
TCGA-44-4112-01Z-00-DX1,105517,42354,39.682539682539684,1015
TCGA-78-7145-01Z-00-DX1,92087,68362,39.682539682539684,1015
TCGA-64-5774-01Z-00-DX1,49799,52795,39.57261574990107,1013
TCGA-97-A4LX-01Z-00-DX1,113952,69368,40.241448692152915,1030
TCGA-38-4627-01Z-00-DX1,149642,65033,39.682539682539684,1015
TCGA-NJ-A4YQ-01Z-00-DX1,193223,61504,39.57261574990107,1013
TCGA-78-8648-01Z-00-DX1,107576,88840,40.71661237785016,1042
TCGA-55-7574-01Z-00-DX1,45084,54285,39.682539682539684,1015
TCGA-MP-A4T4-01Z-00-DX1,69720,46189,39.603960396039604,1013
TCGA-49-4488-01Z-00-DX8,116068,78452,39.682539682539684,1015
TCGA-64-1679-01Z-00-DX1,56595,49054,39.682539682539684,1015
TCGA-69-A59K-01Z-00-DX1,89488,75737,40.51863857374392,1037
TCGA-05-4395-01Z-00-DX1,48384,26880,43.01075268817204,1101
TCGA-L9-A50W-01Z-00-DX1,107576,77440,40.71661237785016,1042
TCGA-05-4426-01Z-00-DX1,42240,75008,43.01075268817204,1101
TCGA-62-A46U-01Z-00-DX1,94220,85152,39.72983710766786,1017
TCGA-75-6212-01Z-00-DX1,31982,33257,19.980019980019982,511
